a,b,theta,E,E_p,E_t,machine_type,status,file_name
12.9,4.2,59.0,-29.683155730832368,-10.10727846971713,-2.367149697849527,1,Done,BTBT_theta=59.0_a=12.9_b=4.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.0,8.5,59.0,-39.225348895415664,-5.16853631590493,-7.222069065901451,2,Done,BTBT_theta=59.0_a=6.0_b=8.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
5.7,8.5,58.0,-39.81941261095926,-5.521165559999645,-7.194270372739993,2,Done,BTBT_theta=58.0_a=5.7_b=8.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.1,8.6,59.5,-37.98172447737306,-4.977045364212245,-7.006908437237144,1,Done,BTBT_theta=59.5_a=6.1_b=8.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
12.8,4.0,59.5,-29.735075908713043,-10.453946369234473,-2.2067957925610244,2,Done,BTBT_theta=59.5_a=12.8_b=4.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.1,8.3,59.0,-39.79808982275426,-4.988767251139507,-7.455138830118813,2,Done,BTBT_theta=59.0_a=6.1_b=8.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
5.9,8.5,58.5,-39.66321282275021,-5.344245390733704,-7.243680510320701,1,Done,BTBT_theta=58.5_a=5.9_b=8.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
13.0,4.0,59.0,-29.728662755340338,-10.337549539050087,-2.2633909193100408,1,Done,BTBT_theta=59.0_a=13.0_b=4.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
5.8,8.3,58.0,-40.31601147539914,-5.497276254463941,-7.330364741617814,2,Done,BTBT_theta=58.0_a=5.8_b=8.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
12.9,4.0,59.5,-29.848529716953635,-10.453946369234473,-2.2351592446211725,2,Done,BTBT_theta=59.5_a=12.9_b=4.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.2,8.4,59.5,-38.71432985225693,-4.776731621939689,-7.290216652094386,1,Done,BTBT_theta=59.5_a=6.2_b=8.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.2,8.3,59.0,-39.30806726356968,-4.771002455614507,-7.441515588085167,2,Done,BTBT_theta=59.0_a=6.2_b=8.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
5.9,8.6,58.5,-39.14770080754533,-5.344245390733704,-7.1148025065194815,1,Done,BTBT_theta=58.5_a=5.9_b=8.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
13.0,4.1,59.0,-29.954716959502548,-10.354693112662062,-2.311332683544606,1,Done,BTBT_theta=59.0_a=13.0_b=4.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
5.9,8.3,58.0,-40.34349641390145,-5.38323258724995,-7.394257809850387,2,Done,BTBT_theta=58.0_a=5.9_b=8.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
13.0,4.0,59.5,-29.899508628994223,-10.453946369234473,-2.2479039726313204,2,Done,BTBT_theta=59.5_a=13.0_b=4.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.2,8.6,59.5,-37.35805483767763,-4.776731621939689,-6.9511478984495625,1,Done,BTBT_theta=59.5_a=6.2_b=8.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
5.9,8.2,59.0,-40.464179137256,-5.292582492809743,-7.469753537909128,2,Done,BTBT_theta=59.0_a=5.9_b=8.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.0,8.4,58.5,-39.80358680943027,-5.192569948732853,-7.354611727991141,1,Done,BTBT_theta=58.5_a=6.0_b=8.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
13.0,4.2,59.0,-29.621684852056205,-10.10727846971713,-2.3517819781554863,1,Done,BTBT_theta=59.0_a=13.0_b=4.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
5.8,8.2,58.0,-40.25356168067083,-5.497276254463941,-7.314752292935736,2,Done,BTBT_theta=58.0_a=5.8_b=8.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
13.0,4.1,59.5,-30.01647649286315,-10.408979002851993,-2.2996296217897907,2,Done,BTBT_theta=59.5_a=13.0_b=4.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
5.9,8.3,59.0,-40.290660072583705,-5.292582492809743,-7.426373771741055,2,Done,BTBT_theta=59.0_a=5.9_b=8.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.3,8.4,59.5,-38.06815770547837,-4.548261506250128,-7.242908673244528,1,Done,BTBT_theta=59.5_a=6.3_b=8.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.1,8.4,58.5,-39.36957579432055,-4.991603596135974,-7.346592150512151,1,Done,BTBT_theta=58.5_a=6.1_b=8.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
5.9,8.2,58.0,-40.41382773546502,-5.38323258724995,-7.41184064024128,2,Done,BTBT_theta=58.0_a=5.9_b=8.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
12.9,3.9,60.5,-29.311908265575767,-10.450608016224578,-2.1026730582816526,1,Done,BTBT_theta=60.5_a=12.9_b=3.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
13.0,4.0,60.5,-30.10844435915351,-10.63182035391219,-2.2112009128322825,2,Done,BTBT_theta=60.5_a=13.0_b=4.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
5.9,8.4,59.0,-39.97369222110137,-5.292582492809743,-7.347131808870472,2,Done,BTBT_theta=59.0_a=5.9_b=8.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
13.0,4.2,59.5,-29.606699913274497,-10.11628951318562,-2.343530221725814,1,Done,BTBT_theta=59.5_a=13.0_b=4.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
5.8,8.3,58.5,-40.284673628397286,-5.42536988388747,-7.358483465155587,1,Done,BTBT_theta=58.5_a=5.8_b=8.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.0,8.2,58.0,-40.33264049049467,-5.206293592462316,-7.480013326392509,2,Done,BTBT_theta=58.0_a=6.0_b=8.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
