a,b,theta,E,E_p,E_t,machine_type,status,file_name
6.2,9.2,25.5,-27.56894903862849,-1.457605328410864,-6.16343459545169,2,Done,BTBT_theta=25.5_a=6.2_b=9.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.8,6.4,26.0,-39.32725651934743,-4.28545404295437,-7.689087108359672,1,Done,BTBT_theta=26.0_a=7.8_b=6.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.8,6.4,25.5,-39.24421184556559,-4.245287127792835,-7.688409397494979,2,Done,BTBT_theta=25.5_a=7.8_b=6.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.1,9.4,26.0,-27.417505774647,-1.643379663815722,-6.032686611753888,1,Done,BTBT_theta=26.0_a=6.1_b=9.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.4,25.5,-34.89929495519027,-10.845744787948206,-3.3019513448234648,2,Done,BTBT_theta=25.5_a=3.8_b=12.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,12.4,26.0,-35.50403889268637,-10.977747791446744,-3.387135827448219,1,Done,BTBT_theta=26.0_a=3.9_b=12.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.3,9.2,25.5,-27.658657868858427,-1.317055638646707,-6.256136647891253,2,Done,BTBT_theta=25.5_a=6.3_b=9.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.9,6.4,25.5,-38.891977932769805,-4.245287127792835,-7.600350919296034,2,Done,BTBT_theta=25.5_a=7.9_b=6.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.8,6.5,26.0,-38.921608954668045,-4.143323027994484,-7.658740724669769,1,Done,BTBT_theta=26.0_a=7.8_b=6.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,12.4,25.5,-35.49064782820642,-10.99252565181814,-3.3763991311425343,2,Done,BTBT_theta=25.5_a=3.9_b=12.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.2,9.2,26.0,-27.67931549809873,-1.484588258434087,-6.177534745307639,1,Done,BTBT_theta=26.0_a=6.2_b=9.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
4.0,12.4,26.0,-35.39524120930582,-10.804222451057283,-3.446699076797813,1,Done,BTBT_theta=26.0_a=4.0_b=12.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.2,9.1,25.5,-27.595505261793733,-1.457605328410864,-6.170073651243001,2,Done,BTBT_theta=25.5_a=6.2_b=9.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.6,6.3,25.5,-39.48636795487255,-4.313453539274633,-7.714865219080821,2,Done,BTBT_theta=25.5_a=7.6_b=6.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
4.0,12.4,25.5,-35.32901380304247,-10.785190072609112,-3.439658414456062,2,Done,BTBT_theta=25.5_a=4.0_b=12.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.9,6.3,26.0,-39.32738202065229,-4.379605643218383,-7.642042683553882,1,Done,BTBT_theta=26.0_a=7.9_b=6.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.3,9.2,26.0,-27.75799270160496,-1.3418234584387392,-6.268586446181871,1,Done,BTBT_theta=26.0_a=6.3_b=9.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.3,9.1,25.5,-27.788728140760213,-1.317055638646707,-6.2886542158667,2,Done,BTBT_theta=25.5_a=6.3_b=9.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.3,26.0,-34.81276132632047,-10.783953878097236,-3.3112133925315,1,Done,BTBT_theta=26.0_a=3.8_b=12.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.6,6.4,25.5,-39.42922689439729,-4.245287127792835,-7.734663159702904,2,Done,BTBT_theta=25.5_a=7.6_b=6.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.3,25.5,-34.856373271439224,-10.845744787948206,-3.291220923885703,2,Done,BTBT_theta=25.5_a=3.8_b=12.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
